# Host-block file
# --------------------------------------------
# Localhost:
127.0.0.1 localhost
127.0.0.1 localhost.localdomain
127.0.0.1 local
255.255.255.255 broadcasthost
::1 localhost
::1 ip6-localhost
::1 ip6-loopback
#fe80::1%lo0 localhost
ff00::0 ip6-localnet
ff00::0 ip6-mcastprefix
ff02::1 ip6-allnodes
ff02::2 ip6-allrouters
ff02::3 ip6-allhosts
0.0.0.0 0.0.0.0

# --------------------------------------------
# Blocked hosts:
0.0.0.0 browser.sentry-cdn.com
0.0.0.0 diagnostics.meethue.com
0.0.0.0 activity.windows.com
0.0.0.0 graph.facebook.com
0.0.0.0 settings-win.data.microsoft.com
0.0.0.0 auth-blue-prod.mediametrie.com
0.0.0.0 traffic.alexa.com
0.0.0.0 streaming-collect-hc-live-prod.mediametrie.com
0.0.0.0 androidtvchannels-pa.googleapis.com
0.0.0.0 androidtvwatsonfe-pa.googleapis.com
0.0.0.0 mitv.tracking.intl.miui.com
0.0.0.0 tracking.intl.miui.com
0.0.0.0 data.mistat.intl.xiaomi.com
0.0.0.0 sdkconfig.ad.intl.xiaomi.com
